3084,term24480 df=1 cf=1
309,term18185 df=1 cf=1
30th,term26791 df=3 cf=3
31,term2632 df=209 cf=219
310,term21944 df=3 cf=3
311,term17393 df=5 cf=5
312,term11545 df=2 cf=2
313,term25419 df=2 cf=2
3136,term7623 df=2 cf=2
314,term7076 df=3 cf=3
315,term12409 df=4 cf=4
316,term9716 df=4 cf=4
3169,term18327 df=1 cf=1
317,term6127 df=3 cf=4
318,term7442 df=2 cf=2
319,term21990 df=1 cf=1
3190,term21849 df=1 cf=1
3195,term15588 df=1 cf=1
31st,term27589 df=1 cf=1
32,term549 df=285 cf=295
320,term3556 df=2 cf=2
321,term20522 df=1 cf=1
322,term16705 df=2 cf=2
323,term9377 df=2 cf=2
324,term7812 df=1 cf=1
325,term21490 df=5 cf=5
326,term11075 df=2 cf=2
327,term15598 df=2 cf=2
328,term19995 df=2 cf=2
329,term24263 df=1 cf=1
32k,term24433 df=1 cf=1
32nd,term25940 df=1 cf=1
33,term263 df=106 cf=107
330,term4704 df=2 cf=2
331,term21182 df=3 cf=3
3312,term18602 df=1 cf=1
332,term8871 df=4 cf=4
3322,term28009 df=1 cf=1
333,term12475 df=4 cf=4
3330,term7692 df=1 cf=1
334,term18938 df=3 cf=3
335,term24446 df=1 cf=1
336,term21105 df=3 cf=3
337,term25056 df=3 cf=3
338,term21196 df=2 cf=2
339,term25942 df=2 cf=2
33rd,term23299 df=1 cf=1
34,term2633 df=131 cf=133
340,term14667 df=5 cf=5
341,term15487 df=4 cf=4
343,term16909 df=3 cf=3
344,term8872 df=3 cf=3
345,term23106 df=3 cf=3
3454,term27271 df=1 cf=1
346,term14703 df=2 cf=2
347,term10656 df=3 cf=3
348,term21019 df=2 cf=2
349,term26148 df=1 cf=1
3492,term2867 df=1 cf=1
35,term3141 df=150 cf=155
350,term11399 df=14 cf=14
350th,term24682 df=1 cf=1
351,term7167 df=4 cf=4
352,term13834 df=3 cf=3
353,term14560 df=2 cf=3
354,term16924 df=1 cf=1
355,term23694 df=2 cf=2
3571,term22867 df=1 cf=1
359,term8873 df=2 cf=2
35mm,term18862 df=1 cf=1
35th,term9651 df=1 cf=1
36,term1186 df=85 cf=86
360,term598 df=35 cf=55
3600,term18219 df=6 cf=10
361,term15987 df=2 cf=2
362,term11450 df=1 cf=1
363,term14069 df=2 cf=2
364,term19095 df=1 cf=1
365,term17295 df=3 cf=3
366,term16033 df=1 cf=1
367,term16477 df=1 cf=1
368,term15011 df=4 cf=4
369,term26269 df=1 cf=1
36th,term5664 df=2 cf=2
37,term3142 df=76 cf=76
370,term11031 df=5 cf=6
371,term8846 df=1 cf=1
372,term21398 df=1 cf=1
3728,term27737 df=1 cf=1
373,term15485 df=2 cf=2
3731,term11314 df=1 cf=1
374,term15748 df=1 cf=1
3741,term11608 df=1 cf=1
375,term20737 df=2 cf=2
3758,term26804 df=1 cf=1
376,term24821 df=1 cf=1
3767,term20436 df=1 cf=1
377,term10304 df=1 cf=1
378,term14157 df=2 cf=2
379,term12819 df=1 cf=1
37th,term22729 df=1 cf=1
38,term3034 df=57 cf=58
380,term6833 df=6 cf=6
3800,term12375 df=2 cf=2
381,term28381 df=1 cf=1
382,term12447 df=2 cf=2
383,term17025 df=2 cf=2
384,term2282 df=2 cf=2
385,term16251 df=5 cf=5
386,term9116 df=3 cf=3
387,term26658 df=1 cf=1
388,term9877 df=2 cf=2
389,term4387 df=1 cf=1
39,term550 df=156 cf=158
390,term23374 df=2 cf=2
391,term21052 df=1 cf=1
392,term25491 df=1 cf=1
3923,term19579 df=1 cf=1
393,term22109 df=1 cf=1
394,term29835 df=1 cf=1
395,term24536 df=1 cf=1
396,term27154 df=1 cf=1
397,term14501 df=2 cf=2
