2bibliotekar,term27744 df=1 cf=3
2bibliotekar1,term7853 df=2 cf=2
2biblioteksbladet1,term17978 df=1 cf=1
2bibliotheek,term8901 df=3 cf=3
2bibliotheksplan,term25277 df=1 cf=1
2biographisch,term11227 df=1 cf=2
2biologiya1,term23107 df=1 cf=2
2bliss,term11299 df=1 cf=1
2bogens,term22351 df=1 cf=1
2booklegger,term7166 df=1 cf=1
2booklist1,term10961 df=1 cf=1
2brazilian,term25548 df=1 cf=1
2british,term18085 df=2 cf=2
2buch,term17998 df=1 cf=2
2building1,term27951 df=1 cf=1
2bulletin,term10962 df=1 cf=1
2business,term26466 df=1 cf=1
2ca,term21753 df=1 cf=1
2cab,term25716 df=1 cf=1
2california,term21006 df=1 cf=1
2cancer,term29362 df=1 cf=1
2carnegie,term24622 df=1 cf=1
2catalogue,term27619 df=1 cf=1
2cataloguer,term20923 df=1 cf=1
2census,term27601 df=1 cf=1
2chemical,term13084 df=13 cf=16
2children,term19719 df=1 cf=1
2chinese,term9526 df=1 cf=2
2codices,term14581 df=1 cf=1
2common,term3524 df=1 cf=1
2completed,term28471 df=1 cf=1
2computing1,term24557 df=1 cf=1
2concise,term26349 df=1 cf=2
2conference,term23429 df=1 cf=1
2current,term26856 df=1 cf=1
2cybernetic,term3480 df=1 cf=1
2description,term18997 df=1 cf=1
2dictionary,term27663 df=1 cf=1
2droit,term20820 df=1 cf=1
2economics,term11324 df=1 cf=2
2electrical,term23088 df=1 cf=1
2electronics,term23089 df=1 cf=2
2energy,term13006 df=1 cf=1
2excerpta,term11020 df=2 cf=2
2existing,term12282 df=1 cf=1
2f,term11858 df=1 cf=1
2fiji,term16633 df=1 cf=1
2filipiniana,term23124 df=1 cf=1
2food,term25740 df=2 cf=2
2fortune,term22033 df=1 cf=1
2french,term24993 df=1 cf=1
2gnomon1,term18714 df=1 cf=1
2government,term13007 df=1 cf=1
2guidelines,term18384 df=1 cf=1
2handbook,term27847 df=1 cf=1
2hardy,term16564 df=1 cf=1
2harper,term23136 df=1 cf=1
2health,term25064 df=1 cf=1
2historical,term29477 df=1 cf=1
2hornbook1,term10963 df=1 cf=1
2iatul,term10465 df=1 cf=1
2ibid1,term24298 df=2 cf=2
2icssr,term7978 df=1 cf=1
2index,term9763 df=7 cf=11
2information,term13206 df=4 cf=4
2informationsmittel1,term27831 df=1 cf=1
2informelektro1,term25957 df=1 cf=1
2instruments,term28739 df=1 cf=1
2inter,term24272 df=1 cf=1
2interim,term28318 df=1 cf=1
2international,term7979 df=3 cf=4
2israeli,term15167 df=1 cf=1
2j,term15723 df=4 cf=4
2japanese,term16724 df=1 cf=2
2journal,term12097 df=12 cf=14
2k,term19704 df=1 cf=2
2kiryath,term28347 df=1 cf=1
2kontakten,term11118 df=1 cf=1
2libr,term6751 df=4 cf=5
2libradoc1,term26627 df=1 cf=1
2libraries,term8902 df=3 cf=3
2library,term8158 df=15 cf=18
2lisa1,term22969 df=2 cf=2
2list,term15588 df=2 cf=2
2loris,term24305 df=1 cf=1
2m,term24118 df=2 cf=2
2machine,term7819 df=1 cf=1
2magazine,term24068 df=1 cf=1
2maktaba1,term28949 df=1 cf=1
2maps,term28388 df=1 cf=1
2mechanical,term15481 df=1 cf=1
2medical,term21279 df=1 cf=1
2medicus,term15116 df=1 cf=1
2meditsinsky,term28865 df=1 cf=1
2metals,term23090 df=1 cf=1
2microdoc1,term19903 df=1 cf=1
2microform,term22772 df=2 cf=2
2minicomputers,term24443 df=1 cf=1
2minnesota,term22296 df=1 cf=1
2monthly,term27698 df=1 cf=1
2n,term9399 df=6 cf=13
2national,term19100 df=4 cf=4
2nd,term995 df=128 cf=133
2new,term23590 df=2 cf=2
2nippon,term29356 df=1 cf=1
2norsk,term17292 df=1 cf=1
2north,term28995 df=1 cf=1
2on,term25799 df=2 cf=2
2online,term17396 df=1 cf=1
2open1,term8903 df=1 cf=1
2organisation,term25958 df=1 cf=1
2p,term26679 df=1 cf=1
2papers,term4399 df=1 cf=1
2parent,term27566 df=1 cf=1
2per,term23306 df=2 cf=2
2pharmacological,term26857 df=1 cf=1
2philippine,term23901 df=1 cf=1
2physical,term28472 df=1 cf=3
2physics,term22973 df=1 cf=1
2physiological,term26858 df=1 cf=1
2pira,term25717 df=1 cf=1
2preservation,term17278 df=1 cf=1
2principles,term14790 df=2 cf=2
2procedures,term22731 df=1 cf=1
2production,term27699 df=1 cf=1
2psalm,term20720 df=1 cf=1
2public,term18252 df=1 cf=1
2quarterly,term26989 df=1 cf=1
2radion,term23091 df=1 cf=1
2readers,term24069 df=1 cf=1
2reform,term20366 df=3 cf=3
2report,term16714 df=1 cf=1
2research,term21517 df=1 cf=1
2resumos,term23971 df=1 cf=1
2s,term26580 df=1 cf=1
2scandinavian,term14798 df=2 cf=2
2school,term10964 df=2 cf=2
2science,term14944 df=4 cf=5
2scientific,term13008 df=4 cf=4
2see,term10466 df=17 cf=17
2see1,term6060 df=95 cf=99
2serials,term3023 df=7 cf=7
2sign,term19626 df=1 cf=1
2slj,term22604 df=1 cf=1
2slj1,term22605 df=1 cf=1
2social,term13943 df=4 cf=4
2sociological,term7980 df=1 cf=2
2sovetskaya,term24229 df=1 cf=1
2soviet,term28527 df=1 cf=1
2spec,term21352 df=1 cf=1
2sport,term28473 df=1 cf=1
2srl,term19740 df=1 cf=1
2ssal,term22480 df=1 cf=1
2standards,term23611 df=2 cf=4
2stemplerne1,term29340 df=1 cf=1
2synergy1,term7167 df=1 cf=1
2synthetic,term25974 df=1 cf=1
2teletext,term27388 df=1 cf=1
2textile,term21755 df=1 cf=1
2the,term4538 df=11 cf=13
2theory,term22430 df=1 cf=1
2thor1,term14832 df=1 cf=1
2tok,term21630 df=1 cf=1
2towards,term27664 df=1 cf=1
2twentieth,term23777 df=1 cf=1
2unimarc1,term20533 df=1 cf=1
